Listing cat.,Major group,Scientific name,Common name,Type of non-nativity of English population,Pathway of introduction,Pathway details,Native range (continent),Native range (area),Comments,References,Place first record outside captivity or cultivation,Date of introduction (1),Date of introduction (2),Date first wild report,Persistence in wild,Distr_NE_CN,Distr_NW_SN,Distr_Yo_EC,Distr_EM_WC,Distr_WM_BC,Distr_EE_NC,Distr_SE_SC,Distr_SW_IS,Distr_Lo,English as proportion,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Current trend,Direct economic value,Economic impact,Modeofeconimpact,Conservation status,Environmental impact,Modeofenvironimpact,Population trend (20 yr),Control methods,Other info,BRC number,NBN system number,Date1,Date2,Date3,Date,Compiler,Institution
A,14,Palaemon macrodactylus,na (prawn),N,U,Accidentally transported ?,As,"Japan, Korea, China",Oriental prawn recently recorded from Orwell Estuary,Ashelby et al. (2004),Orwell Estuary (SN),2000,,,P,,,,,,EE,,,,0,A5,,,,nd,0,0,,0,0,,nd,0,prawn,,,2000,,,2000,JRE,CEFAS
A,14,Rhithropanopeus harrisii,Dwarf crab,N,T,"Accidentally transported, probably on ships or in ballast water",NAm,West Atlantic (Canada to Brazil),,Eno et al. (1997),Cardiff docks,1996,,,C,,,,,,,,,,0,,,,,0,0,0,,0,0,,nd,0,crab,6575  3001,NBNSYS0000186554,1996,,,1996,JRE,CEFAS
A,14.1,Eriocheir sinensis,Chinese Mitten Crab,I,T,"Accidentally transported, probably on ships or in ballast water",As,"Japan, Korea, China",Diadromous; migrates up rivers but needs salinity to breed; on the IUCN 100 of the World's worst invasive alien species,Ingle (1986); Eno et al. (1997); Marlin (2005),Thames Estuary,1935,,,E,NE,,Yo,,,EE,SE,SW,Lo,0,C2,A5,,,G,0,0,,0,NN,H,nd,0,crab,6575  1201,NBNSYS0000033010,1935,,,1935,JRE,CEFAS & BRC
A,15,Clymenella torquata,Bamboo worm,I,T,An associated unintentional introduction with the American oyster,NAm,,Known distribution is restricted to Whitstable and the Northumberland coast.,Newell (1949),"Whitstable, Kent (VIIc)",1870,1936,1936,E,CN,SN,,,,,,,,0,A5,A2,,,0,0,0,,0,0,,0,0,,,NBNSYS0000174640,1870,1936,1936,1936,IL,CEFAS
A,15,Desdemona ornata,,I,T,"Introduced to Mediterranean 1984-1988, may be secondary introduction from there.","As, Aus",,,Smith et al. (1999),Southampton (VIId),1998,,1998,E,,,EC,,,,,,,0,A5,,,,0,0,0,,0,0,,0,0,,,,1998,,1998,1998,IL,CSL
A,15,Ficopomatus enigmaticus,polychaete,I,T,Probably ship-assisted.,Unk,,"It is a fouling species which affects ships, buoys and harbour structures. It can also have very beneficial effects on water quality, reducing suspended particulate loads and improving both the oxygen and nutrient status.",Monro (1924); Davies et al. (1989),London Docks (VIIc),1922,,1922,E,,SN,EC,WC,BC,,SC,IS,,0,A4,A1,J5,,0,0,N,A,0,0,,0,D,,,NBNSYS0000175337,1922,,1922,1922,IL,CEFAS
A,15,Goniadella gracilis,polychaete,I,T,Probably ship-assisted.,"NAm, Afr",,Quite common in Liverpool Bay in sandy gravel below 15 m water depth,Walker (1972),Liverpool Bay (VIIa),1950,1970,1970,E,,,,,,,,IS,,0,A5,,,,0,0,0,,0,0,,0,0,,,,1950,1970,1970,1970,IL,CEFAS
A,15,Hydroides dianthus,polychaete,I,T,"Probably ship-assisted, may have been introduced via Europe (Mediterranean).",NAm,,This species requires areas of high primary productivity. Its current British distribution is limited to Southampton Water. This species is widespread in the Mediterranean and has been recorded from the Atlantic coasts of France and Spain,Zibrowius & Thorp (1989),Southampton Water (VIId),1900,1970,1970,E,,,EC,,,,,,,0,A2,,,,0,0,0,,0,0,,0,0,,,NBNSYS0000182918,1900,1970,1970,1970,IL,CEFAS
A,15,Hydroides ezoensis,polychaete,I,T,Probably ship-assisted.,As,"Japan, E China, Russian coast of Sea of Japan.",It is a severe fouling organism on harbour structures and ships' hulls throughout Southampton Water. It has not displaced the heavy sea-squirt-dominated fouling community at an immediately lower level.,Thorp et al. (1987),Southampton Water (VIId),1976,,1976,E,,,EC,,,,,,,0,A4,A1,J5,,0,0,N,A,0,0,,0,D,,,NBNSYS0000175834,1976,,1976,1976,IL,CEFAS
A,15,Janua brasiliensis,polychaete,I,T,Probably ship-assisted.,"SAm, Afr, As",,"Confined to Portsmouth Harbour. Remote dispersal could be expected by adults attached to drifting Sargassum muticum, but distribution may be limited by the availability of waters of suitable temperature.",Knight-Jones et al. (1975); Zibrowius & Thorp (1989),Portsmouth Harbour (VIId),1974,,1974,E,,,EC,,,,,,,0,A3,J5,,,0,0,0,,0,0,,0,0,,,NBNSYS0000183112,1974,,1974,1974,IL,CEFAS
